host: 127.0.0.1:8081 | date : 6/2/2017 | pathname : /asdfdf
host: 127.0.0.1:8081 | date : 6/2/2017 | pathname : /asdfdf
host: 127.0.0.1:8081 | date : 6/2/2017 | pathname : /asdfdf
host: 127.0.0.1:8081 | date : 6/2/2017 | pathname : /asdfdf
host: 127.0.0.1:8081 | date : 6/2/2017 | pathname : /asdfdf
host: localhost:8081 | date : 6/2/2017 | pathname : /hello
host: localhost:8081 | date : 6/2/2017 | pathname : /hello
host: localhost:8081 | date : 6/2/2017 | pathname : /hello
host: localhost:8081 | date : 6/2/2017 | pathname : /hello
host: localhost:8081 | date : 6/2/2017 | pathname : /hello
host: 127.0.0.1:8081 | date : 6/2/2017 | pathname : /asdfdf
host: 127.0.0.1:8081 | date : 6/2/2017 | pathname : /
host: localhost:8081 | date : 6/2/2017 | pathname : /hello
